name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc
[ Systemic Strategies ] ♾️ HyperGrowth ♾️,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x2b804617c6f63c040377e95bb276811747006f4b,6492305.401433,-0.06262963094410089,,2025-08-29T22:17:22.629000+00:00,False,False,-118695.745807,133829.854147,-453519.578275,1878956.331433,-1317750.425134,927769.9945038641,48,0.9586911620828351,0.0006522448092183933,0.0,0.0007609522774214588,0.9978258506359386,0.9991303402543755,0.8910751168605283,0.0,0.5463464408186662,1,2026-03-07T21:34:19.179724+00:00
Flagship by Fire Labs,0x632df0dbe24f3dac3e1c4e0596c96a0adc3ba86a,0x1d4b30ea0a731e092a8cb0079666bf1edfbc5f58,17830.617,-0.023726138864433716,,2025-05-08T12:59:32.078000+00:00,False,False,0.0,0.0,-1215.54835,2916.057,-49531.619175,32203.152458254248,49,0.9461898032394825,0.0192412218719426,0.0,0.048918360691379496,0.9606478965104903,0.9755408196543103,0.6271333840634852,0.0,0.5210447775944026,2,2026-03-07T21:34:19.179724+00:00
Satori Quantum HF Vault,0xbbf7d7a9d0eaeab4115f022a6863450296112422,0xaf69b1587b87c78409e5a20c3fd5f1ca386fd350,568720.545638,-0.10701989992807658,,2025-03-03T08:10:59.889000+00:00,False,False,-2257.971504,-785.130385,-74555.251364,278171.155638,-213742.759314,138422.85992218283,49,0.9692357864985325,0.003369931514295032,0.0,0.00293510164148277,0.9868463963474291,0.9918469398847701,0.6271333840634852,0.0,0.5176402573402248,3,2026-03-07T21:34:19.179724+00:00
HighFDV,0x78ab93343554d9b9fc7260f44844fad8f36d3d79,0xeb75a45b99a8698ebc45f24a1ecb57235cc0f875,2713.297648,-0.06216248265066057,,2024-05-08T17:00:45.190000+00:00,False,False,0.0,0.0,-179.844925,2019.937648,-1561.722793,883.1002058535323,48,0.958473747146429,0.044787476899663003,0.0,0.05631046852918795,0.7518208500924013,0.7841069681487118,0.8910751168605283,0.0,0.5148558637796599,4,2026-03-07T21:34:19.179724+00:00
TrendPilot,0x72255024cded9e6edf856a2a24318b9411a37695,0x33ba8d3710b985fe56e4e8324cb57c4a228ba3d9,8832.637998,-0.04005640448060891,,2025-06-21T19:24:42.094000+00:00,False,False,116.757546,873.776208,-368.567197,2207.827998,-12845.006442,5294.855148670283,49,0.951951299054245,0.027176867050766388,0.0,0.05359278182411132,0.9078160669638005,0.9144472225241874,0.6271333840634852,0.0,0.512281473282669,5,2026-03-07T21:34:19.179724+00:00
HLP Strategy A,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,121353748.59428,-0.000843302131740959,,2023-05-04T23:39:58.416000+00:00,False,False,-68018.979917,54123.465435,-468551.220482,4862309.86428,-7014131.276225,3128954.4399398803,49,0.9330361995869116,0.00032612240460919666,0.0,0.0004348298728122622,0.999891292531797,0.9994564626589847,0.6271333840634852,0.0,0.510692861872338,6,2026-03-07T21:34:19.179724+00:00
Ethos Intel - Mvault,0x79d3b973bd5bc4c6a98f5d2e0ee6e285910945ae,0xfe15383180f356010ff6d1fd4e4bfc0428770908,7801.167589,-0.00044913451360061973,,2025-07-08T17:30:57.604000+00:00,False,False,0.0,-5.233491,-5.233491,3082.587589,-1809.75364,1046.3358116945185,48,0.9324926622458963,0.028155234264593976,0.0,0.048048700945754974,0.7653005761495815,0.7992173062289379,0.8910751168605283,0.0,0.5068831592366759,7,2026-03-07T21:34:19.179724+00:00
HyperTwin - Blue Whale,0x9a3006e0b7ffacf11729103098ff16fa6e17bd24,0x98bb9ef6b6bf918ce301be1e3fa14407b1d949a2,14221.122747,-0.14313170157812358,,2025-07-02T20:53:41.721000+00:00,False,False,-14.658034,828.362359,-2375.503331,2180.312747,-4674.560405,2408.3683039827806,49,0.974997282313295,0.022067616045222307,0.0,0.053810196760517445,0.8410696814871181,0.8669420589194478,0.6271333840634852,0.0,0.5031031040923422,8,2026-03-07T21:34:19.179724+00:00
[ Sidelined ] Market Neutral 2: BTC Maxi,0x257acedf61ffd72abfcde8332a13a1d015930051,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,31910.386941,-0.020426120845274683,,2025-09-07T06:46:40.175000+00:00,False,False,-73.292687,264.230217,-761.822394,1332.956941,-3943.810263,1634.6774125715515,49,0.9453201434938581,0.015110338080226111,0.0,0.0650070659854332,0.827481247961735,0.8388955321230569,0.6271333840634852,0.0,0.4930773107748866,9,2026-03-07T21:34:19.179724+00:00
● MONO BLACK TOKYO「ISHI 石」,0x395f50a09d7bc2e2883c9e427d36896264a6ee8f,0x82babdae2d023cfa3cfa00a4446fb28dd8a5efcc,2189.210337,-0.040855548793644746,,2025-09-01T00:48:50.521000+00:00,False,False,2.212075,-12.077302,-330.728479,1811.180337,-1572.666078,1193.8733017807183,49,0.9524948363952603,0.048700945754973364,0.0,0.05794108055223394,0.7526905098380259,0.8109577127948691,0.6271333840634852,0.0,0.48723428435897187,10,2026-03-07T21:34:19.179724+00:00
