series,idx,value
day,0,0.0
day,1,12226.520811
day,2,23306.221838
day,3,22998.953095
day,4,16630.357426
day,5,20071.368499
day,6,23728.012017
day,7,47776.528599
day,8,42339.082741
day,9,47080.18402
day,10,46264.832275
week,0,0.0
week,1,16451.461249
week,2,17870.517898
week,3,-99629.760876
week,4,6181.590885
week,5,-54935.092479
week,6,-329008.234096
week,7,-297077.380152
week,8,-179782.66375
week,9,-65666.834984
week,10,-37493.436975
week,11,-19942.331758
week,12,-11671.583448
month,0,0.0
month,1,-314798.939991
month,2,-256310.741066
month,3,-189865.651536
month,4,-222176.881445
month,5,-258458.920586
month,6,-116047.668536
month,7,-144284.512206
month,8,-267280.288226
month,9,-486428.462304
month,10,-276869.84714
month,11,-212792.454125
month,12,-213607.80587
allTime,0,0.0
allTime,1,-252234.870879
allTime,2,-238328.989227
allTime,3,-164753.595047
allTime,4,-12239.007332
allTime,5,469993.631175
allTime,6,206743.267488
allTime,7,395004.171521
allTime,8,390241.416833
allTime,9,438648.62201
allTime,10,592795.27045
allTime,11,141597.883837
allTime,12,414418.540271
