series,idx,value
day,0,0.0
day,1,-21.710076
day,2,-104.067042
day,3,-9.764853
day,4,21.868961
day,5,-36.562582
day,6,-63.547565
day,7,-88.533269
day,8,-155.318793
day,9,-193.218529
day,10,-187.311241
day,11,-264.625825
week,0,0.0
week,1,-352.669634
week,2,-257.621555
week,3,252.250925
week,4,123.015596
week,5,1189.125182
week,6,971.565667
week,7,611.166485
week,8,151.837148
week,9,-24.922083
week,10,-88.469648
week,11,-289.547908
month,0,0.0
month,1,505.904288
month,2,642.397875
month,3,278.370008
month,4,13.922944
month,5,732.731389
month,6,-802.656298
month,7,-467.617009
month,8,137.30355
month,9,1074.177807
month,10,531.251107
month,11,-228.402727
month,12,-404.495283
allTime,0,0.0
allTime,1,808.198615
allTime,2,-410.653692
allTime,3,55.929868
allTime,4,778.901105
allTime,5,1237.664814
allTime,6,2700.99858
allTime,7,2828.690298
allTime,8,4037.271977
allTime,9,269.620279
allTime,10,1805.625685
allTime,11,1297.8022
allTime,12,69.982528
