series,idx,value
day,0,0.0
day,1,-1.15562
day,2,1.207235
day,3,-3.426149
day,4,-6.312978
day,5,1.672479
day,6,1.18205
day,7,6.680515
day,8,8.572615
day,9,1.129557
day,10,-7.808933
day,11,-13.560644
week,0,0.0
week,1,14.196416
week,2,0.955173
week,3,25.761754
week,4,13.960661
week,5,34.266451
week,6,36.500103
week,7,29.991145
week,8,11.089696
week,9,8.539782
week,10,15.905162
week,11,-6.228097
month,0,0.0
month,1,-60.784395
month,2,-89.310753
month,3,-11.942222
month,4,-47.474432
month,5,-80.358921
month,6,-51.43854
month,7,-43.074384
month,8,-44.625934
month,9,-11.358533
month,10,-25.252132
month,11,-44.154445
month,12,-66.287704
allTime,0,0.0
allTime,1,374.25065
allTime,2,-940.653629
allTime,3,-422.140587
allTime,4,6291.751171
allTime,5,4667.78546
allTime,6,4085.497969
allTime,7,4219.378064
allTime,8,4748.694229
allTime,9,3940.288365
allTime,10,3515.914731
allTime,11,3279.656416
allTime,12,3266.095772
