series,idx,value
day,0,0.0
day,1,3.010749
day,2,9.835747
day,3,8.318953
day,4,5.221689
day,5,3.55816
day,6,6.509472
day,7,8.324974
day,8,35.249674
day,9,29.85605
day,10,33.795634
day,11,35.226417
day,12,44.19048
week,0,0.0
week,1,55.422853
week,2,44.219562
week,3,-58.009353
week,4,-67.348301
week,5,-271.857059
week,6,-238.579104
week,7,-157.556346
week,8,-44.695391
week,9,-46.937555
week,10,-25.400458
week,11,-11.066028
month,0,0.0
month,1,-255.750298
month,2,-193.435792
month,3,-139.807567
month,4,-165.880999
month,5,-176.790502
month,6,-27.889813
month,7,-109.313383
month,8,-156.719887
month,9,-335.618215
month,10,-169.711601
month,11,-122.066109
month,12,-113.102046
allTime,0,0.0
allTime,1,-25.870342
allTime,2,-11.703392
allTime,3,-266.346808
allTime,4,-183.041663
allTime,5,-543.083944
allTime,6,-812.669253
allTime,7,-1160.623754
allTime,8,-411.677582
allTime,9,-288.991103
allTime,10,531.669087
allTime,11,775.852821
allTime,12,690.640588
