series,idx,value
day,0,0.0
day,1,-7.794754
day,2,-43.20029
day,3,19.13142
day,4,359.710697
day,5,553.378858
day,6,554.801523
day,7,589.015029
day,8,328.970892
day,9,-55.260164
day,10,133.387496
day,11,234.366827
day,12,118.987496
week,0,0.0
week,1,-434.225234
week,2,-511.11154
week,3,577.654295
week,4,-525.273915
week,5,1606.264774
week,6,1175.718951
week,7,816.169483
week,8,-707.458391
week,9,-421.334922
week,10,-647.658123
week,11,-662.058123
month,0,0.0
month,1,1195.357288
month,2,1560.675572
month,3,1821.718964
month,4,678.946407
month,5,-1569.657439
month,6,-2607.746609
month,7,-1718.724204
month,8,-1413.202605
month,9,-423.372644
month,10,-1999.726675
month,11,-1719.325948
allTime,0,0.0
allTime,1,-1646.728126
allTime,2,-1243.933937
allTime,3,106.665637
allTime,4,4148.762265
allTime,5,6265.321764
allTime,6,3818.436701
allTime,7,1590.761359
allTime,8,4555.816078
allTime,9,6668.79745
allTime,10,2390.039558
allTime,11,3271.779163
allTime,12,2240.371049
