series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,-0.005403
day,7,-0.005403
day,8,-0.005403
day,9,-0.005403
day,10,-0.005403
day,11,-0.005403
day,12,-0.005403
day,13,-0.005403
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,-163.03978
week,7,-163.03978
week,8,-163.03978
week,9,-163.03978
week,10,-163.045183
week,11,-163.045183
month,0,0.0
month,1,0.0
month,2,-259.239001
month,3,-259.239001
month,4,-259.239001
month,5,-794.90049
month,6,-794.90049
month,7,-794.90049
month,8,-794.90049
month,9,-794.90049
month,10,-957.94027
month,11,-957.945673
month,12,-957.945673
allTime,0,0.0
allTime,1,-457.050726
allTime,2,-2238.373729
allTime,3,1944.676158
allTime,4,1944.676158
allTime,5,1685.437157
allTime,6,1685.437157
allTime,7,1685.437157
allTime,8,1149.775668
allTime,9,1149.775668
allTime,10,986.735888
allTime,11,986.730485
