series,idx,value
day,0,0.0
day,1,-0.148595
day,2,10.368604
day,3,5.326118
day,4,1.987178
day,5,0.27399
day,6,12.03879
day,7,13.784799
day,8,28.359409
day,9,40.817706
day,10,38.298987
day,11,35.74505
day,12,38.054838
week,0,0.0
week,1,24.688562
week,2,50.322217
week,3,-83.237564
week,4,-39.749267
week,5,-348.04975
week,6,-320.845205
week,7,-227.282764
week,8,-73.293617
week,9,-50.477111
week,10,-36.543717
week,11,-12.273678
month,0,0.0
month,1,-363.240782
month,2,-252.853721
month,3,-161.049371
month,4,-159.625151
month,5,-304.976906
month,6,53.460093
month,7,-52.818321
month,8,-109.421296
month,9,-417.67027
month,10,-315.650859
month,11,-125.016529
month,12,-127.779397
allTime,0,0.0
allTime,1,1359.777142
allTime,2,1918.048248
allTime,3,2398.612743
allTime,4,2798.115096
allTime,5,2165.633073
allTime,6,3821.91093
allTime,7,4096.820762
allTime,8,4300.709537
allTime,9,4300.436393
allTime,10,4422.084642
allTime,11,4108.069475
allTime,12,4332.282147
