series,idx,value
day,0,0.0
day,1,4.88943
day,2,53.726535
day,3,-51.200443
day,4,-65.280693
day,5,21.582896
day,6,88.08784
day,7,129.555727
day,8,440.454205
day,9,459.265238
day,10,482.150765
day,11,472.272415
day,12,511.807565
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,-225.635674
week,5,-498.610964
week,6,-399.100264
week,7,23.44489
week,8,364.076921
week,9,366.121451
week,10,816.81097
week,11,856.34612
month,0,0.0
month,1,-7684.200911
month,2,-6426.611497
month,3,-6794.935683
month,4,-6344.510809
month,5,-6385.266504
month,6,-6385.266504
month,7,-6385.266504
month,8,-6568.277578
month,9,-6424.597519
month,10,-6035.838519
month,11,-5528.920384
allTime,0,0.0
allTime,1,-13.815386
allTime,2,231.130067
allTime,3,3682.526352
allTime,4,2435.032239
allTime,5,5194.577515
allTime,6,4480.401623
allTime,7,-73.557847
allTime,8,3488.679373
allTime,9,15004.857116
allTime,10,17160.137643
