series,idx,value
day,0,0.0
day,1,2.273119
day,2,1.43366
day,3,-8.196126
day,4,-13.748712
day,5,-8.613948
day,6,-9.709756
day,7,-7.842706
day,8,22.451098
day,9,11.039324
day,10,8.273169
day,11,11.815061
day,12,36.650188
week,0,0.0
week,1,42.940085
week,2,40.855729
week,3,-51.171818
week,4,-29.631819
week,5,-293.136995
week,6,-229.549038
week,7,-154.992676
week,8,-25.883925
week,9,-30.336247
week,10,-9.907238
week,11,14.927889
month,0,0.0
month,1,-331.304279
month,2,-240.554733
month,3,-166.823041
month,4,-135.375977
month,5,-279.128588
month,6,-164.599253
month,7,-226.536658
month,8,-185.176886
month,9,-273.575356
month,10,-126.866902
month,11,-91.650374
allTime,0,0.0
allTime,1,457.311973
allTime,2,-1187.785546
allTime,3,1763.810788
allTime,4,1957.337282
allTime,5,743.307536
allTime,6,-238.776745
allTime,7,576.589272
allTime,8,417.514771
allTime,9,1747.524258
allTime,10,1764.235502
allTime,11,1814.634402
