series,idx,value
day,0,0.0
day,1,-37.184988
day,2,-754.10349
day,3,0.668826
day,4,45.23295
day,5,-916.407731
day,6,-1439.889297
day,7,-1716.089379
day,8,-2365.750111
day,9,-2886.144566
day,10,-3044.479493
day,11,-4089.938472
week,0,0.0
week,1,-3197.918625
week,2,-3313.527372
week,3,-1208.050919
week,4,1075.844115
week,5,13839.505391
week,6,9494.499337
week,7,7965.229952
week,8,350.021944
week,9,219.8775
week,10,-2666.935892
week,11,-3870.729798
month,0,0.0
month,1,117347.819608
month,2,123547.045195
month,3,131649.384965
month,4,137003.156006
month,5,150398.018605
month,6,134567.199464
month,7,143942.621512
month,8,144906.461485
month,9,154153.55314
month,10,143644.441449
month,11,140317.192049
allTime,0,0.0
allTime,1,17592.709326
allTime,2,23789.329435
allTime,3,26802.694961
allTime,4,49809.939572
allTime,5,40653.956904
allTime,6,409789.624635
allTime,7,357206.097213
allTime,8,472473.572374
allTime,9,258730.81306
allTime,10,276208.3754
