series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,-1.09
week,4,-1.09
week,5,-1.09
week,6,-1.09
week,7,-5.233491
week,8,-5.233491
week,9,-5.233491
week,10,-5.233491
month,0,0.0
month,1,0.0
month,2,0.0
month,3,0.0
month,4,0.0
month,5,0.0
month,6,0.0
month,7,-1.09
month,8,-1.09
month,9,-1.09
month,10,-5.233491
month,11,-5.233491
allTime,0,0.0
allTime,1,1302.058556
allTime,2,-507.695084
allTime,3,1667.17698
allTime,4,1628.19312
allTime,5,3250.264497
allTime,6,3250.25623
allTime,7,2639.711184
allTime,8,3087.82108
allTime,9,3087.82108
allTime,10,3086.73108
allTime,11,3082.587589
